asset_id,asset_key,asset_type,subtype,team_code,team_name
ast_mem_pick_2022_1_22_mem_4a1aee6810,pick_2022_1_22_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2022_1_29_mem_8250783ff8,pick_2022_1_29_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2022_1_mem_a51f99fa5c,pick_2022_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2022_2_mem_2737bf6258,pick_2022_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2023_1_mem_bf30dc251b,pick_2023_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2023_2_in_from_min_utah_hou_9c554709ec,pick_2023_2_in_from_min_utah_hou,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2023_2_mem_a93026b251,pick_2023_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2023_2_mem_rights_56_4edb564b87,pick_2023_2_mem_rights_56,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2023_2_min_c7e7be8179,pick_2023_2_min,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_1_gsw_d16229c661,pick_2024_1_gsw,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_1_mem_8adc419e28,pick_2024_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_1_swap_rights_phx_db14217fc6,pick_2024_1_swap_rights_phx,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_lal_b7728c1268,pick_2024_2_lal,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_mem_ab4554b495,pick_2024_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_mem_more_favorable_b841afcf1c,pick_2024_2_mem_more_favorable,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_mem_or_tor_6eca2db13f,pick_2024_2_mem_or_tor,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_mem_rights_57_fdc20cc680,pick_2024_2_mem_rights_57,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_more_favorable_7a9de2aa33,pick_2024_2_more_favorable,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_okc_6dc87e8084,pick_2024_2_okc,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2024_2_tor_f5a41c1948,pick_2024_2_tor,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_1_mem_315ae36b9d,pick_2025_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_1_orl_in_6a6812e837,pick_2025_1_orl_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_hou_okc_more_favorable_12863dcf82,pick_2025_2_hou_okc_more_favorable,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_mem_fbccdef9de,pick_2025_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_mem_rights_56_5de8b783cd,pick_2025_2_mem_rights_56,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_nop_1e3c6a954b,pick_2025_2_nop,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_nop_in_00b86b7531,pick_2025_2_nop_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2025_2_was_in_8636c672eb,pick_2025_2_was_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2026_1_mem_5efd214042,pick_2026_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2026_1_swap_rights_mem_orl_72c2863d01,pick_2026_1_swap_rights_mem_orl,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2026_2_mem_a0eff31010,pick_2026_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2026_2_swap_rights_lac_19177cafc6,pick_2026_2_swap_rights_lac,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2027_1_lal_conditional_in_281f2f39fe,pick_2027_1_lal_conditional_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2027_1_mem_bf18d7d771,pick_2027_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2027_1_more_favorable_phx_phi_4edfecb031,pick_2027_1_more_favorable_phx_phi,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2027_2_atl_in_4d674f63b9,pick_2027_2_atl_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2027_2_mem_7ab926c180,pick_2027_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2028_1_mem_9efe5f9598,pick_2028_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2028_1_orl_in_f734e74c62,pick_2028_1_orl_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2028_2_mem_d7e4aed745,pick_2028_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2028_2_mem_in_ebd389e5a6,pick_2028_2_mem_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2028_2_sac_in_a903c2550d,pick_2028_2_sac_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2029_1_mem_49f0e59d83,pick_2029_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2029_1_swap_orl_in_2efc2086f1,pick_2029_1_swap_orl_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2029_2_mem_961a334525,pick_2029_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2029_2_mem_in_b18fbd9758,pick_2029_2_mem_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2029_2_por_in_f2e80a9a21,pick_2029_2_por_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_1_mem_3c63b96658,pick_2030_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_1_orl_in_f3343b70fd,pick_2030_1_orl_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_1_swap_rights_phx_815f1e4cb2,pick_2030_1_swap_rights_phx,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_2_dal_in_e5ead89f5c,pick_2030_2_dal_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_2_mem_10c1ef9879,pick_2030_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2030_2_mem_conditional_d3231eaa45,pick_2030_2_mem_conditional,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2031_1_mem_7939217f2e,pick_2031_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2031_1_phx_in_e8b655bfbe,pick_2031_1_phx_in,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2031_2_mem_6b6c3a9372,pick_2031_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2031_2_swap_rights_ind_2cfe6b2480,pick_2031_2_swap_rights_ind,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2032_1_mem_f88d6df3a5,pick_2032_1_mem,future_draft_pick,first_round,MEM,Memphis Grizzlies
ast_mem_pick_2032_2_gsw_in_782be6ba12,pick_2032_2_gsw_in,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2032_2_mem_da7efe5310,pick_2032_2_mem,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_pick_2032_2_swap_rights_phi_fb7e699400,pick_2032_2_swap_rights_phi,future_draft_pick,second_round,MEM,Memphis Grizzlies
ast_mem_player_bismack_biyombo_6733e0f471,player_bismack_biyombo,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_brandon_clarke_ba5a95433e,player_brandon_clarke,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_braxton_key_64945fb61e,player_braxton_key,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_cedric_coward_331614329d,player_cedric_coward,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_charles_bassey_17b4496b3d,player_charles_bassey,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_christian_koloko_6a531ce7d6,player_christian_koloko,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_cole_anthony_20e747f459,player_cole_anthony,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_colin_castleton_aa95520d04,player_colin_castleton,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_dakota_mathias_9edc8c7ec5,player_dakota_mathias,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_danny_green_74d1c879e1,player_danny_green,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_david_roddy_f66e9d4c45,player_david_roddy,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_deanthony_melton_26e514f787,player_deanthony_melton,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_dejon_jarreau_724485086d,player_dejon_jarreau,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_derrick_rose_1d9e62cc5a,player_derrick_rose,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_desmond_bane_7ab119c9e6,player_desmond_bane,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_dillon_brooks_bcedacdd64,player_dillon_brooks,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ej_onu_71dd912c8c,player_ej_onu,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_eric_gordon_d04d30c738,player_eric_gordon,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_georges_niang_4a28ce7943,player_georges_niang,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_gg_jackson_c995d2aa42,player_gg_jackson,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_isaiah_todd_d12e78b82e,player_isaiah_todd,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ja_morant_cd090610e1,player_ja_morant,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jack_white_54aef2934d,player_jack_white,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jacob_gilyard_26e10dd365,player_jacob_gilyard,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_jahmai_mashack_5e02abbc05,player_jahmai_mashack,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_jake_laravia_7bb7c89164,player_jake_laravia,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_james_huff_eabb3709ce,player_james_huff,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jaren_jackson_jr_f365479aec,player_jaren_jackson_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_javon_small_b9e41a2a17,player_javon_small,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_jaylen_nowell_2046f880aa,player_jaylen_nowell,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jaylen_wells_27e5e3ac1e,player_jaylen_wells,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jock_landale_ba95761c58,player_jock_landale,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_john_konchar_bfb540fa8d,player_john_konchar,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_johnny_davis_70aeb778a5,player_johnny_davis,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_jordan_goodwin_082edf470d,player_jordan_goodwin,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_josh_christopher_b77e609687,player_josh_christopher,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_justin_bean_7ede504087,player_justin_bean,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_justinian_jessup_322797a5e5,player_justinian_jessup,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_kennedy_chandler_54b026578a,player_kennedy_chandler,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_kenny_lofton_jr_6a5c74021a,player_kenny_lofton_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_kentavious_caldwell_pope_314405064e,player_kentavious_caldwell_pope,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_killian_tillie_a016de8188,player_killian_tillie,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_kobe_bufkin_af8a3b5d9d,player_kobe_bufkin,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_kyle_anderson_e23b5ad23c,player_kyle_anderson,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_lamar_stevens_f88b3642ae,player_lamar_stevens,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_lawson_lovering_e8456395dd,player_lawson_lovering,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_luke_kennard_f14f5d273c,player_luke_kennard,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_mamadi_diakite_2ec14923f8,player_mamadi_diakite,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_maozinha_pereira_179cc5f592,player_maozinha_pereira,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_marcus_sasser_f6123c9955,player_marcus_sasser,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_marcus_smart_4cd4f4a40d,player_marcus_smart,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_marvin_bagley_iii_ddc0b6a3bc,player_marvin_bagley_iii,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_matthew_hurt_ef714b6be1,player_matthew_hurt,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_mychal_mulder_2a8b30e1bd,player_mychal_mulder,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_nemanja_dangubic_10fb99253a,player_nemanja_dangubic,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_olivier_maxence_prosper_ca5a5d59d4,player_olivier_maxence_prosper,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_pj_hall_8b7ea04222,player_pj_hall,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_rayan_rupert_b6fd5979b8,player_rayan_rupert,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_romeo_weems_9091291fdd,player_romeo_weems,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_santi_aldama_b3a21c91fd,player_santi_aldama,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_scotty_pippen_jr_6dee5c5db8,player_scotty_pippen_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_sean_mcdermott_768d2b8dc2,player_sean_mcdermott,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_shaquille_harrison_70e3ee1de4,player_shaquille_harrison,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_steven_adams_ab4485159b,player_steven_adams,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tarik_biberovic_3e65e59094,player_tarik_biberovic,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_taylor_hendricks_c280d427db,player_taylor_hendricks,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tosan_evbuomwan_b5b85d8d1c,player_tosan_evbuomwan,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_trey_jemison_3741b6bdcc,player_trey_jemison,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ty_jerome_3b3fe31166,player_ty_jerome,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tyrell_terry_5775e97e56,player_tyrell_terry,two_way,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tyus_jones_d162fd9352,player_tyus_jones,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ulrich_chomche_d3e56efbd5,player_ulrich_chomche,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_vanja_marinkovic_ed09cb732a,player_vanja_marinkovic,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_victor_oladipo_558a3a1190,player_victor_oladipo,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_vince_williams_jr_904db7a1ac,player_vince_williams_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_walter_clayton_jr_ee10508d71,player_walter_clayton_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_wenyen_gabriel_f105ab2923,player_wenyen_gabriel,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_will_richard_39ba93f6b3,player_will_richard,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_xavier_tillman_062056db33,player_xavier_tillman,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_yang_hansen_98f5eafe83,player_yang_hansen,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_yuki_kawamura_ccc927820b,player_yuki_kawamura,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_yves_pons_cb5bec6f38,player_yves_pons,two_way,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zach_edey_eb47a26f7c,player_zach_edey,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zavier_simpson_8b1c92b9b7,player_zavier_simpson,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ziaire_williams_e48711763e,player_ziaire_williams,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zyon_pullin_6a3c571ae9,player_zyon_pullin,two_way,two_way_contract,MEM,Memphis Grizzlies
